userId,history_len,drift,focus,maturity,freshness,w_ncf,w_tr,w_gen,static_rank,damr_rank,static_hit,damr_hit,static_ndcg,damr_ndcg
7329,83,0.0701,0.2937,0.8263,0.5657,0.6378284692764282,0.22663536667823792,0.13553614914417267,4,1,1,1,0.43067655807339306,1.0
1551,59,0.083,0.3191,0.7656,0.4541,0.6205098628997803,0.22645914554595947,0.15303099155426025,91,75,0,0,0.0,0.0
18343,38,0.2026,0.4211,0.6809,0.2865,0.5236490368843079,0.28108152747154236,0.19526951014995575,94,84,0,0,0.0,0.0
16321,257,0.0224,0.2154,1.0,0.8371,0.6925795674324036,0.21328431367874146,0.09413614869117737,40,49,0,0,0.0,0.0
14857,265,0.0284,0.2095,1.0,0.8405,0.6888769268989563,0.21708860993385315,0.09403449296951294,41,47,0,0,0.0,0.0
9275,18,0.2559,0.4392,0.5552,0.0821,0.46584856510162354,0.2947576940059662,0.23939374089241028,15,29,0,0,0.0,0.0
6740,94,0.0539,0.3265,0.8547,0.6132,0.649358332157135,0.21927742660045624,0.13136421144008636,21,8,0,1,0.0,0.31546487678572877
35835,74,0.0625,0.2397,0.8141,0.5444,0.6449010372161865,0.2224605679512024,0.13263830542564392,53,25,0,0,0.0,0.0
5771,30,0.4244,0.4874,0.5228,0.0498,0.34750986099243164,0.39916545152664185,0.2533246874809265,20,3,0,1,0.0,0.5
38856,22,0.2868,0.5325,0.5912,0.1293,0.4447900950908661,0.3134267032146454,0.24178318679332733,21,48,0,0,0.0,0.0
28022,125,0.0844,0.235,0.9119,0.6977,0.6430245637893677,0.24279707670211792,0.1141783744096756,50,15,0,0,0.0,0.0
1969,23,0.3604,0.4034,0.5993,0.1413,0.4078448712825775,0.37210267782211304,0.22005243599414825,37,69,0,0,0.0,0.0
1853,19,0.1503,0.433,0.5552,0.0821,0.5337141156196594,0.23335324227809906,0.2329326570034027,13,18,0,0,0.0,0.0
6195,56,0.2205,0.4709,0.7451,0.4138,0.5151787400245667,0.3018731474876404,0.18294818699359894,24,2,0,1,0.0,0.6309297535714575
14567,90,0.0246,0.2134,0.8506,0.6065,0.6744420528411865,0.2053978443145752,0.1201600730419159,46,43,0,0,0.0,0.0
15511,26,0.1443,0.577,0.6215,0.1771,0.5374674201011658,0.2310238927602768,0.23150861263275146,54,47,0,0,0.0,0.0
33301,213,0.0549,0.2822,1.0,0.8029,0.6717750430107117,0.22709231078624725,0.1011325940489769,10,19,1,0,0.2890648263178879,0.0
39595,43,0.295,0.318,0.6649,0.2557,0.46653202176094055,0.3440784513950348,0.18938948214054108,21,45,0,0,0.0,0.0
1633,31,0.3931,0.2819,0.6413,0.2119,0.39860641956329346,0.4113594889640808,0.19003409147262573,16,9,0,1,0.0,0.3010299956639812
36933,176,0.0148,0.228,0.9605,0.7575,0.6940540075302124,0.2047915905714035,0.10115446150302887,36,25,0,0,0.0,0.0
13216,112,0.0527,0.2108,0.8897,0.6667,0.6620357036590576,0.22353599965572357,0.11442830413579941,43,40,0,0,0.0,0.0
35809,28,0.2236,0.3255,0.6349,0.2005,0.5111165046691895,0.2909409999847412,0.19794248044490814,2,3,1,1,0.6309297535714575,0.5
27885,22,0.0443,0.6722,0.5741,0.1054,0.575680673122406,0.1734876185655594,0.2508316934108734,54,82,0,0,0.0,0.0
14683,21,0.1276,0.6376,0.5829,0.1173,0.533023476600647,0.2150280624628067,0.25194844603538513,54,21,0,0,0.0,0.0
29799,46,0.1723,0.3359,0.7219,0.3679,0.5556345582008362,0.272577702999115,0.17178775370121002,14,9,0,1,0.0,0.3010299956639812
38784,24,0.0499,0.3061,0.5912,0.1293,0.6152238249778748,0.18919897079467773,0.1955772191286087,81,56,0,0,0.0,0.0
18520,39,0.2288,0.39,0.6908,0.306,0.5096351504325867,0.3009662330150604,0.1893986612558365,89,24,0,0,0.0,0.0
424,114,0.0878,0.1966,0.809,0.5353,0.6310491561889648,0.23750929534435272,0.1314416229724884,4,1,1,1,0.43067655807339306,1.0
10642,50,0.1042,0.3686,0.7219,0.3679,0.5976986885070801,0.23103050887584686,0.17127078771591187,40,52,0,0,0.0,0.0
28071,41,0.0739,0.3412,0.7002,0.3247,0.6160560250282288,0.21234045922756195,0.17160354554653168,60,5,0,1,0.0,0.38685280723454163
22588,24,0.2371,0.3965,0.5912,0.1293,0.4890739321708679,0.28960755467414856,0.22131846845149994,74,81,0,0,0.0,0.0
18510,47,0.2302,0.3436,0.7136,0.3512,0.5146246552467346,0.3081296980381012,0.17724567651748657,89,15,0,0,0.0,0.0
10339,132,0.0823,0.2783,0.9193,0.7074,0.6428372263908386,0.24092471599578857,0.1162380650639534,24,9,0,1,0.0,0.3010299956639812
14354,96,0.0745,0.3379,0.8309,0.5738,0.6324955821037292,0.2284977287054062,0.13900670409202576,57,8,0,1,0.0,0.31546487678572877
22354,22,0.1987,0.362,0.5829,0.1173,0.5156717300415039,0.266806423664093,0.21752187609672546,21,25,0,0,0.0,0.0
6729,170,0.0611,0.2029,0.9639,0.7613,0.6671082973480225,0.2313670516014099,0.10152462869882584,37,31,0,0,0.0,0.0
